epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,69.6607,0.6505,0.3606,0.87007,0.94037,0.92963,0.93934,0.70973,1.01933,0.45551,0.98683,0.000523586,0.000523586,0.000523586
66,70.7078,0.67559,0.36838,0.85671,0.95662,0.94096,0.9614,0.71698,1.01602,0.48074,0.98611,0.000509438,0.000509438,0.000509438
67,71.7714,0.64649,0.36358,0.85283,0.95596,0.93922,0.96219,0.72527,0.97256,0.46649,0.96699,0.000495291,0.000495291,0.000495291
68,72.839,0.66067,0.35734,0.86551,0.95459,0.94248,0.96322,0.69947,1.07432,0.47137,1.01256,0.000481144,0.000481144,0.000481144
69,74.3131,0.62114,0.34195,0.86454,0.95388,0.94199,0.96322,0.69557,1.08508,0.48382,1.01429,0.000466997,0.000466997,0.000466997
70,75.4007,0.62128,0.35189,0.86682,0.95291,0.94157,0.96462,0.70954,1.08286,0.47592,1.01335,0.00045285,0.00045285,0.00045285
71,76.462,0.60833,0.3524,0.84825,0.95208,0.94051,0.9652,0.7102,1.05202,0.44606,1.00345,0.000438703,0.000438703,0.000438703
72,77.5136,0.62332,0.35356,0.85621,0.94925,0.9386,0.9652,0.7315,1.01771,0.44716,1.00062,0.000424556,0.000424556,0.000424556
73,78.5763,0.61211,0.34564,0.87437,0.95159,0.93729,0.96662,0.72531,1.02481,0.44501,1.00399,0.000410409,0.000410409,0.000410409
74,79.6066,0.59912,0.34268,0.86049,0.94989,0.94671,0.9641,0.75736,1.00765,0.45783,0.99535,0.000396262,0.000396262,0.000396262
75,80.687,0.58507,0.33562,0.83927,0.95079,0.95705,0.96462,0.74146,0.98355,0.44967,0.99132,0.000382115,0.000382115,0.000382115
76,81.7638,0.58708,0.33773,0.85161,0.94331,0.95788,0.9641,0.73515,1.0232,0.45787,1.00545,0.000367967,0.000367967,0.000367967
77,82.8038,0.57189,0.32854,0.849,0.95261,0.93331,0.9641,0.72592,1.03081,0.45541,1.01228,0.00035382,0.00035382,0.00035382
78,83.884,0.5788,0.33002,0.84927,0.98327,0.96016,0.96823,0.72869,1.02454,0.44979,1.00742,0.000339673,0.000339673,0.000339673
79,84.94,0.56567,0.3316,0.83959,0.97947,0.96296,0.96823,0.71887,1.06508,0.47378,1.02117,0.000325526,0.000325526,0.000325526
80,85.9792,0.55195,0.32523,0.84482,0.98142,0.96296,0.96965,0.70781,1.09751,0.45705,1.03773,0.000311379,0.000311379,0.000311379
81,86.9966,0.55462,0.31684,0.84219,0.98439,0.95919,0.97052,0.71402,1.06705,0.44616,1.02742,0.000297232,0.000297232,0.000297232
